@RELATION Starcraft_TvT_Terran

@ATTRIBUTE TerranDepot INTEGER
@ATTRIBUTE TerranGas INTEGER
@ATTRIBUTE TerranSecondGas INTEGER
@ATTRIBUTE TerranExpansion INTEGER
@ATTRIBUTE TerranSecondExpansion INTEGER
@ATTRIBUTE TerranThirdExpansion INTEGER
@ATTRIBUTE TerranFourthExpansion INTEGER
@ATTRIBUTE TerranBarracks INTEGER
@ATTRIBUTE TerranSecondBarracks INTEGER
@ATTRIBUTE TerranThirdBarracks INTEGER
@ATTRIBUTE TerranMarine INTEGER
@ATTRIBUTE TerranMedic INTEGER
@ATTRIBUTE TerranFirebat INTEGER
@ATTRIBUTE TerranBunker INTEGER
@ATTRIBUTE TerranAcademy INTEGER
@ATTRIBUTE TerranStem INTEGER
@ATTRIBUTE TerranComsat INTEGER
@ATTRIBUTE TerranEbay INTEGER
@ATTRIBUTE TerranTurret INTEGER
@ATTRIBUTE TerranInfantryAttack1 INTEGER
@ATTRIBUTE TerranInfantryArmor1 INTEGER
@ATTRIBUTE TerranInfantryAttack2 INTEGER
@ATTRIBUTE TerranInfantryArmor2 INTEGER
@ATTRIBUTE TerranFactory INTEGER
@ATTRIBUTE TerranSecondFactory INTEGER
@ATTRIBUTE TerranThirdFactory INTEGER
@ATTRIBUTE TerranMachineShop INTEGER
@ATTRIBUTE TerranSiege INTEGER
@ATTRIBUTE TerranMines INTEGER
@ATTRIBUTE TerranVulture INTEGER
@ATTRIBUTE TerranTank INTEGER
@ATTRIBUTE TerranGoliath INTEGER
@ATTRIBUTE TerranArmory INTEGER
@ATTRIBUTE TerranSecondArmory INTEGER
@ATTRIBUTE TerranMetalAttack1 INTEGER
@ATTRIBUTE TerranMetalArmor1 INTEGER
@ATTRIBUTE TerranMetalAttack2 INTEGER
@ATTRIBUTE TerranMetalArmor2 INTEGER
@ATTRIBUTE TerranStarport INTEGER
@ATTRIBUTE TerranControlTower INTEGER
@ATTRIBUTE TerranWraith INTEGER
@ATTRIBUTE TerranCloak INTEGER
@ATTRIBUTE TerranDropship INTEGER
@ATTRIBUTE TerranValkyrie INTEGER
@ATTRIBUTE TerranScienceFacility INTEGER
@ATTRIBUTE TerranVessel INTEGER
@ATTRIBUTE TerranGhost INTEGER
@ATTRIBUTE TerranNuke INTEGER
@ATTRIBUTE TerranBattlecruiser INTEGER
@ATTRIBUTE TerranAirAttack INTEGER
@ATTRIBUTE TerranAirArmor INTEGER
@ATTRIBUTE midBuild {Bio,TwoFactory,VultureHarass,SiegeExpand,Standard,FastDropship,Unknown}

@DATA
1510,2660,14605,11800,14460,15885,20665,2175,12815,0,3530,0,0,0,0,0,0,7360,8440,0,0,0,0,4235,9625,21655,5665,6370,0,0,6545,23940,5510,26115,25785,29245,33950,33975,5585,7080,11650,13530,7740,0,23115,0,0,0,30600,29265,29295,FastDropship
1305,2865,16760,11810,15925,16915,20425,2535,29895,0,4085,0,0,33645,15825,0,21115,7370,10250,0,0,0,0,4545,8890,17365,5835,6695,0,0,6665,7470,6120,0,0,0,0,0,7970,10200,0,0,11555,0,0,0,0,0,0,0,0,SiegeExpand
1440,2765,0,0,0,0,0,2450,6070,0,6355,0,0,0,0,0,0,0,0,0,0,0,0,4090,5455,0,5385,0,0,0,6795,7660,6265,0,0,0,0,0,5750,6955,0,0,7625,0,0,0,0,0,0,0,0,FastDropship
1280,2475,0,0,0,0,0,2205,0,0,0,0,0,0,8015,0,0,0,0,0,0,0,0,3855,6205,0,5285,0,0,0,10615,6575,5300,0,8860,0,0,0,5265,6515,0,0,7525,0,0,0,0,0,0,0,0,FastDropship
1745,2500,9155,6940,9110,17180,18705,2565,3940,24270,0,38605,0,0,12535,0,14745,7690,9660,0,0,0,0,3920,8385,15815,5645,9225,0,5170,6405,7175,5180,15775,6520,12245,16740,17115,12390,13555,23185,23235,14620,0,13615,42960,27280,66560,41100,22560,28190,VultureHarass
1445,2630,11785,6915,8885,9260,9645,2215,7020,9295,3495,0,0,4840,8370,0,9790,9035,10185,0,0,0,0,4115,14455,15825,5390,6250,0,0,6005,0,7115,20755,8740,43700,20580,0,8180,9395,45255,45280,10690,14350,13695,0,0,0,22760,14790,22445,SiegeExpand
1466,1880,0,16180,20102,29236,0,2580,14264,0,0,0,0,0,7396,0,8962,0,0,0,0,0,0,3854,4620,5114,6000,28428,21582,5626,28384,6688,5158,0,0,0,0,0,5416,6610,0,0,7218,0,0,0,0,0,0,0,0,TwoFactory
1436,1922,22324,14310,17434,19360,21288,2610,4086,17172,4248,0,0,0,21842,0,25054,7960,9334,0,0,0,0,4038,4880,0,5298,7180,0,0,5906,21120,19642,0,0,0,0,0,5282,6576,11742,0,7310,0,0,0,0,0,0,0,0,TwoFactory
1426,2584,10734,7974,14308,23784,0,2220,6324,6708,3448,0,0,0,11542,0,13274,0,0,0,0,0,0,3762,4800,11042,10822,12454,17438,5158,12448,6460,5058,0,0,0,0,0,5994,7366,20242,23320,8190,0,0,0,0,0,0,0,0,TwoFactory
1590,2542,20556,12514,16450,22396,23672,2288,3940,8706,5452,0,0,0,19426,0,25522,6878,7958,0,0,0,0,3800,5194,21480,9444,10412,0,6096,10446,6802,5290,0,0,0,0,0,5132,6278,0,0,7272,0,0,0,0,0,0,0,0,FastDropship
1745,2500,9155,6940,9110,17180,18705,2565,3940,24270,0,38605,0,0,12535,0,14745,7690,9660,0,0,0,0,3920,8385,15815,5645,9225,0,5170,6405,7175,5180,15775,6520,12245,16740,17115,12390,13555,23185,23235,14620,0,13615,42960,27280,66560,41100,22560,28190,VultureHarass
1445,2630,11785,6915,8885,9260,9645,2215,7020,9295,3495,0,0,4840,8370,0,9790,9035,10185,0,0,0,0,4115,14455,15825,5390,6250,0,0,6005,0,7115,20755,8740,43700,20580,0,8180,9395,45255,45280,10690,14350,13695,0,0,0,22760,14790,22445,SiegeExpand
1490,2590,0,16110,0,0,0,2430,4185,4380,4595,0,0,7910,0,0,0,11590,14135,0,0,0,0,3860,5015,10065,5165,5915,0,6310,5870,8895,7565,0,0,0,0,0,18140,21985,0,0,22665,0,0,0,0,0,0,0,0,TwoFactory
1510,2725,20595,15580,21100,22070,23210,2365,6960,0,0,0,0,0,9155,0,11200,10300,11380,0,0,0,0,4500,5915,17435,11635,12365,0,0,12280,7290,5880,9105,11850,17545,0,0,6035,7240,23750,0,7855,0,0,0,0,0,0,0,0,TwoFactory
1495,2480,11500,5920,8460,13570,26770,2225,12145,39240,3490,0,0,0,9485,0,11765,10130,12910,0,0,0,0,3830,7475,9255,5615,6490,0,5105,6230,10570,8685,9245,10200,31275,20280,0,13980,17745,23455,0,18630,0,18970,0,43740,0,0,0,0,VultureHarass
1460,2635,9715,8300,13480,15075,18260,2020,0,0,4215,0,0,0,17630,0,19195,7480,18860,0,0,0,0,3945,15005,16495,5230,5875,0,0,5865,20410,17910,30615,35020,50940,35925,0,8515,9660,9945,11370,16755,24375,28565,38025,0,0,31920,28595,32045,SiegeExpand
1360,2640,10495,6470,8850,9125,13495,2475,6095,6785,3770,0,0,0,13755,0,15435,8880,10240,0,0,0,0,4125,7210,13300,5500,7345,0,5410,7040,0,13930,0,0,0,0,0,8495,9975,0,0,10630,21365,13450,0,0,0,16030,15680,15690,VultureHarass
1455,2485,8380,6525,11230,15905,19955,2175,3465,5105,0,0,0,0,10830,0,12560,6965,8545,0,0,0,0,3680,10130,0,5910,8900,0,4980,7205,0,5380,19855,0,0,0,0,13915,16655,15085,17425,0,0,17860,0,0,0,0,17890,11380,Bio
1515,1990,10510,8630,14950,18525,19295,2570,5390,0,4410,0,0,0,9420,0,11000,9250,10720,0,0,0,0,3890,7290,13545,5460,6215,0,0,6155,11100,5490,13795,7595,11920,15610,20175,5655,6815,0,20045,10390,0,12545,0,0,0,0,0,0,FastDropship
1360,2545,16330,14815,15310,16210,19175,2055,5250,7055,0,0,0,0,18330,0,0,10495,0,0,0,0,0,4000,4785,5910,7170,10200,0,5295,9500,7740,6380,0,0,0,0,0,11010,12880,18985,19045,14895,0,0,0,0,0,0,0,0,TwoFactory
1364,1830,11784,14662,15058,16576,19122,2576,6652,7042,3816,0,0,4834,8784,0,0,19030,21844,0,0,0,0,4026,5416,0,6080,14318,0,5390,14026,6802,5382,0,6730,0,0,0,7774,9304,0,0,9948,0,0,0,0,0,0,0,0,VultureHarass
1598,2360,0,12852,16676,0,0,2080,3774,4710,3856,0,0,0,13260,0,15114,8726,10722,0,0,0,0,3602,5616,19892,5908,7248,11352,4874,6964,23816,10228,0,0,0,0,0,4900,6268,0,0,6894,0,0,0,0,0,0,0,0,VultureHarass
1400,2446,16692,12828,14702,17040,17522,2138,0,0,3780,0,0,0,10368,0,11644,7120,8104,0,0,0,0,3630,8850,15278,6384,9322,0,4874,9312,7016,5682,5780,0,0,0,0,5092,6928,25658,0,7558,14770,0,0,0,0,0,0,0,VultureHarass
1432,2472,13444,9374,12334,15988,20504,2170,4408,6622,3416,0,0,3686,11204,0,12558,11542,12678,0,0,0,0,3970,16546,18600,8806,10816,0,6060,9568,21420,19072,26408,20360,26386,0,0,5292,8886,6436,9552,11138,20832,0,0,0,0,0,0,0,FastDropship
1400,2446,16692,12828,14702,17040,17522,2138,0,0,3780,0,0,0,10368,0,11644,7120,8104,0,0,0,0,3630,8850,15278,6384,9322,0,4874,9312,7016,5682,5780,0,0,0,0,5092,6928,25658,0,7558,14770,0,0,0,0,0,0,0,VultureHarass
1432,2472,13444,9374,12334,15988,20504,2170,4408,6622,3416,0,0,3686,11204,0,12558,11542,12678,0,0,0,0,3970,16546,18600,8806,10816,0,6060,9568,21420,19072,26408,20360,26386,0,0,5292,8886,6436,9552,11138,20832,0,0,0,0,0,0,0,FastDropship
1305,2520,9020,5730,7585,7935,12750,2075,7650,0,4295,0,0,0,10900,0,12285,11670,13200,0,0,0,0,3730,11540,14955,14980,32855,0,5040,30095,15615,11185,13990,15570,16030,28365,28395,6175,7515,7790,8150,0,19705,18595,0,0,0,0,13970,28390,VultureHarass
1460,2565,9090,5570,8170,15485,25535,2185,14455,0,3560,0,0,0,10380,0,12510,5985,7565,0,0,0,0,4245,16900,22630,5685,6825,0,0,6350,23935,13185,20675,23060,27190,27165,0,7910,9135,10115,10120,0,14925,20725,0,0,0,0,14890,20660,SiegeExpand
1315,2530,11920,10005,20360,0,0,2125,5120,6970,4210,0,0,0,7760,0,9310,14005,15090,0,0,0,0,3710,11330,13915,6795,9100,0,5325,7425,13210,11805,0,14340,19720,0,0,4995,6130,6270,8635,7475,15625,0,0,0,0,0,0,0,FastDropship
1455,2595,9060,5720,8120,13885,20180,2195,7560,0,3435,0,0,0,10120,0,11720,4535,6090,0,0,0,0,4110,13925,16560,5410,7280,0,0,6135,17910,11680,15530,17825,20835,22220,0,7325,8605,9400,9410,17335,0,17870,0,0,0,0,14325,0,SiegeExpand
1295,2515,14065,12225,18665,0,0,2110,5710,17320,3590,0,0,0,11515,0,12910,7455,8820,0,0,0,0,3800,5140,0,5245,6005,0,6770,5895,6945,5670,0,0,0,0,0,10250,12630,11410,13390,13420,0,0,0,0,0,0,0,0,TwoFactory
1460,2570,11845,5360,7910,19900,0,2185,8605,0,3460,0,0,0,11955,0,13340,5855,6865,0,0,0,0,4225,9645,0,5540,6785,0,0,6210,0,14150,0,15730,0,0,0,11500,12825,14095,14725,13825,0,0,0,0,0,0,0,0,SiegeExpand
1445,2400,11185,9020,11225,14310,18985,2225,7685,8615,3465,0,0,0,9375,0,11430,18445,19580,0,0,0,0,3610,14465,14785,6775,9045,0,5340,8225,17980,15970,0,19155,0,27035,0,4930,6115,6070,6910,6790,0,25440,0,31680,0,0,0,0,FastDropship
1440,2545,7655,6085,17560,20335,26660,2380,3875,5385,4565,0,0,0,9625,0,11195,6395,7380,0,0,0,0,3840,12045,24090,5090,5740,0,0,5735,31380,9385,18900,0,0,0,0,8840,10135,13215,0,0,11555,15040,0,0,0,18850,11685,18945,SiegeExpand
1445,2425,2535,5665,8420,15410,17745,2200,9190,11070,3440,34865,0,0,11890,0,13255,7265,8275,0,0,0,0,3775,9550,11255,5060,6775,20570,20540,5825,13030,6710,18635,13160,0,20410,0,10735,11915,0,0,12610,34195,17940,0,0,0,21755,20430,20435,SiegeExpand
1455,2550,11055,9080,14845,19670,20530,2435,35490,0,4130,0,0,0,10245,0,11800,11535,12500,0,0,0,0,3775,5445,12465,5030,10415,7420,5820,7895,18830,10265,14460,11695,0,0,0,9745,11100,25320,26085,16940,11785,15550,0,0,0,18220,15995,16020,VultureHarass
1415,2500,16665,14190,16995,0,0,2195,0,0,3430,0,0,0,10600,0,14050,0,0,0,0,0,0,3700,6295,12775,15025,16780,0,5890,16210,7265,5955,0,0,0,0,0,5320,9040,0,0,9680,0,0,0,0,0,0,0,0,FastDropship
1460,2530,8290,6345,16940,0,0,2560,4855,19695,4110,0,0,0,14240,0,16860,6685,12395,0,0,0,0,3870,5245,7510,5725,7135,0,5180,6740,9275,5320,0,10785,15465,0,0,9250,10735,11550,0,20610,0,0,0,0,0,0,0,0,VultureHarass
1485,2440,10930,8190,10885,17735,0,2205,7115,7710,3450,0,0,0,14285,0,15585,12515,13535,0,0,0,0,3675,4745,11155,5665,6365,0,5000,6360,13165,11210,0,14915,0,0,0,11240,12780,20630,21835,19200,15130,0,0,0,0,0,0,19740,TwoFactory
1450,2510,10320,5560,8190,13535,15080,2415,4585,6630,3760,0,0,0,11255,0,12580,9215,10380,0,0,0,0,4085,7255,15035,5530,6185,0,0,6145,23170,18745,18780,0,0,0,0,9175,10415,11145,11150,0,22845,18725,0,0,0,0,20350,20365,SiegeExpand
1400,2590,14145,10080,12545,19820,27305,2185,2295,5550,3820,0,0,0,10545,0,12140,7270,8305,0,0,0,0,4355,7925,11620,5670,10280,0,16130,6300,8155,6530,10515,18080,36540,24890,40575,5645,6825,38580,38535,7570,0,17785,25660,0,0,23540,36585,35205,Bio
4255,3365,7495,2455,5085,5425,12930,2885,58340,59285,0,0,0,0,11105,0,12615,10160,12065,0,0,0,0,4895,7290,14100,11690,13025,0,0,12330,8305,6975,34325,38685,38795,41595,41625,16860,19395,19365,22325,0,0,31250,52515,60160,61340,33140,38860,38900,TwoFactory
1490,1940,12190,9605,12320,18175,21155,2415,5605,6260,0,0,0,0,14680,0,16120,7835,10090,0,0,0,0,3805,11335,12085,8740,9990,0,5710,9900,14730,12965,26505,26445,0,0,0,5070,11360,6405,0,12685,0,25550,0,0,0,27190,26475,28460,FastDropship
1300,2785,12255,10285,15180,18565,19880,2210,0,0,4785,0,0,0,12600,0,14345,7630,8640,0,0,0,0,4090,14190,15485,7230,10035,0,6375,8305,13570,10610,15905,13550,18845,22885,22970,5395,11385,6670,32490,14230,32525,18915,0,0,0,22245,19540,26595,FastDropship
1280,9728,17078,13072,13760,15754,16398,2422,13488,14104,3674,0,0,7190,21396,0,25476,18058,19268,0,0,0,0,18724,0,0,20270,0,0,0,21008,24362,22718,24238,0,0,0,0,20860,23136,22174,0,23786,0,0,0,0,0,0,24296,0,Bio
1700,3240,5722,13288,26286,0,0,2316,9462,10588,3572,6288,0,21902,4974,6398,7580,23708,24844,0,0,0,0,6478,7174,0,9220,10144,0,8192,9962,24184,9564,0,0,0,0,0,8276,12174,10454,23854,18386,0,0,0,0,0,0,0,0,TwoFactory
1460,2710,9450,7285,0,0,0,2175,9320,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,3915,4905,10075,8995,9775,0,5200,10035,6865,5390,0,0,0,0,0,8390,9750,0,0,0,0,0,0,0,0,0,0,0,TwoFactory
1430,2805,0,8820,0,0,0,2050,0,0,3290,0,0,0,0,0,0,0,0,0,0,0,0,4050,4590,12130,5830,8845,6545,5350,7730,10275,7520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TwoFactory
1400,2555,17475,13155,13980,15990,0,2030,11680,13790,3305,0,0,0,0,0,0,0,0,0,0,0,0,3775,4585,5140,12960,13620,0,5230,14270,0,7025,0,0,0,0,0,7865,9265,9270,9930,0,0,0,0,0,0,0,0,0,TwoFactory
1415,2805,13905,9890,0,0,0,2055,13045,0,3310,0,0,0,14340,0,16170,9955,11655,0,0,0,0,4210,4980,6155,5970,9345,0,5465,9325,11595,10095,0,0,0,0,0,14710,0,16385,0,0,0,0,0,0,0,0,0,0,TwoFactory
1480,2835,13915,10550,13620,18025,21950,2035,15375,0,3295,0,0,0,21700,0,26015,12465,13725,0,0,0,0,4030,4850,10070,6250,11015,8460,5310,9525,11465,10005,0,11280,15395,0,0,26835,0,0,0,0,0,0,0,0,0,0,0,0,TwoFactory
1410,2555,14995,12305,23565,24940,0,2140,6860,10335,7225,0,0,0,15105,0,16905,0,0,0,0,0,0,3765,5035,5845,11280,13695,0,5215,13685,9985,8525,0,0,0,0,0,11415,15575,12615,0,18225,0,0,0,0,0,0,0,0,TwoFactory
1435,2560,14465,10270,12060,12925,14030,2230,9135,9395,3485,33805,0,0,21160,0,22705,20055,22170,0,0,0,0,3830,4755,19880,11975,12820,0,5255,12810,6620,5070,26040,26020,0,31230,0,6465,7825,0,0,8450,0,25010,0,0,0,29290,29420,29440,TwoFactory
1430,2910,9355,5400,7815,17490,19545,2065,0,0,3310,0,0,0,13950,0,18595,9395,10435,0,0,0,0,4165,6330,13575,7035,8695,7725,5435,8005,22690,7115,31470,8440,13340,0,0,20255,21520,0,0,22150,0,0,0,0,0,0,0,0,VultureHarass
1425,2440,12625,10720,18225,23935,27130,2190,9255,16840,3440,0,0,0,11275,0,13470,11930,13245,0,0,0,0,3635,4740,21900,5515,8625,0,5030,8080,6805,5230,27065,14615,24330,58015,0,6125,7560,11230,11765,8325,0,26505,50605,0,0,28365,19260,28445,TwoFactory
1420,2495,10035,8115,9995,10060,16795,2180,11235,13295,3425,0,0,0,13725,0,15295,9355,11745,0,0,0,0,3945,4990,12655,5310,5935,0,0,5930,10650,8920,24170,13555,18145,22290,71815,8765,10350,15185,15195,11010,0,19020,67295,0,0,27850,27335,27355,TwoFactory
1374,2452,11154,7748,16520,17970,20974,2134,3426,10630,0,0,0,0,7802,0,9214,12236,13548,0,0,0,0,3804,4312,9032,5080,8466,5708,5564,8462,6792,5422,23772,15052,0,0,0,14982,16608,0,0,17572,0,23756,0,0,0,0,0,0,Bio
1398,2594,11958,8532,11430,11708,14840,2124,3410,7104,0,0,0,0,7244,0,13688,11308,12360,0,0,0,0,3904,4772,15656,5158,9120,5766,5778,8722,13888,5970,23786,23756,0,0,0,7330,8448,0,26280,9926,0,23880,0,0,0,26974,27416,27384,Bio
1435,2600,9385,7335,9945,10370,14660,2210,33690,33735,3470,0,0,0,13340,0,15090,18420,24325,0,0,0,0,3790,5065,8235,11045,12300,0,5400,11920,6320,5085,0,19610,0,0,0,6575,7840,9010,9015,11895,0,0,0,0,0,0,0,0,TwoFactory
1410,2585,10675,8335,15470,18855,22455,2145,11035,38885,3410,0,0,0,12745,0,14325,9520,10705,0,0,0,0,3990,5305,12635,8150,9155,0,5410,8800,6715,5360,5420,13520,0,0,0,5830,7125,0,0,7905,0,0,0,0,0,0,0,0,TwoFactory
1350,2475,19395,13115,15950,16095,16235,2255,3790,4515,4065,0,0,0,5125,0,16680,0,0,0,0,0,0,3755,5650,14000,17455,20400,0,0,0,6420,5160,0,6400,10485,0,0,5060,8610,0,0,9230,0,0,0,0,0,0,0,0,FastDropship
1425,2410,10840,8950,16695,21670,0,1995,13470,13915,3330,0,0,0,9970,0,11285,11420,13685,0,0,0,0,3760,5555,11840,6235,13590,0,5045,7995,7135,5835,17265,17165,19930,22210,0,6660,8600,0,0,9700,0,17235,0,0,0,0,0,0,VultureHarass
1745,2500,9155,6940,9110,17180,18705,2565,3940,24270,0,38605,0,0,12535,0,14745,7690,9660,0,0,0,0,3920,8385,15815,5645,9225,0,5170,6405,7175,5180,15775,6520,12245,16740,17115,12390,13555,23185,23235,14620,0,13615,42960,27280,66560,41100,22560,28190,VultureHarass
1445,2630,11785,6915,8885,9260,9645,2215,7020,9295,3495,0,0,4840,8370,0,9790,9035,10185,0,0,0,0,4115,14455,15825,5390,6250,0,0,6005,0,7115,20755,8740,43700,20580,0,8180,9395,45255,45280,10690,14350,13695,0,0,0,22760,14790,22445,SiegeExpand
1280,9728,17078,13072,13760,15754,16398,2422,13488,14104,3674,0,0,7190,21396,0,25476,18058,19268,0,0,0,0,18724,0,0,20270,0,0,0,21008,24362,22718,24238,0,0,0,0,20860,23136,22174,0,23786,0,0,0,0,0,0,24296,0,Bio
1700,3240,5722,13288,26286,0,0,2316,9462,10588,3572,6288,0,21902,4974,6398,7580,23708,24844,0,0,0,0,6478,7174,0,9220,10144,0,8192,9962,24184,9564,0,0,0,0,0,8276,12174,10454,23854,18386,0,0,0,0,0,0,0,0,TwoFactory
1465,2625,16320,10760,15300,16130,19400,2205,4480,8970,3885,0,0,0,12895,0,15000,21370,22820,0,0,0,0,4060,4640,12950,8750,10860,0,14875,9420,6820,5490,23320,6895,20765,26050,0,5385,6555,27455,28540,7190,0,21960,0,34615,40870,0,26865,26895,TwoFactory
1305,2740,13725,11340,17620,21135,22660,2280,0,0,3535,0,0,0,19320,0,21185,8250,9860,0,0,0,0,4495,5175,13240,5750,6370,0,0,6390,16000,14750,27630,18970,0,24515,0,16105,17580,0,0,18400,0,21060,36705,0,0,25375,29740,34780,TwoFactory
1390,2380,11712,8178,10894,15364,20886,2104,6552,0,0,0,0,4610,13112,0,15066,10290,11394,0,0,0,0,3606,10152,17004,8096,8952,0,5702,8758,18942,14284,28700,17024,0,29988,0,4998,8048,6188,8740,14300,0,27476,0,0,0,29864,28758,30000,FastDropship
1210,2442,16086,10912,11500,14870,19442,2086,3364,3770,5420,0,0,0,9448,0,10768,8092,9116,0,0,0,0,3872,8856,11716,5170,7386,0,21852,5784,6598,5302,0,6640,16992,0,0,5114,6364,0,0,7038,0,0,0,0,0,0,0,0,Bio
1410,2596,12538,9520,13190,14124,0,2194,6602,0,11592,0,0,0,0,0,0,8016,12486,0,0,0,0,3764,4552,11824,5030,9088,5886,5754,6650,0,0,0,0,0,0,0,6722,7888,0,0,8516,0,0,0,0,0,0,0,0,TwoFactory
1452,2502,0,0,0,0,0,2060,9532,9666,10848,0,0,0,10892,0,0,12960,13972,0,0,0,0,3884,0,0,5126,7972,0,8126,5748,0,0,0,0,0,0,0,10012,0,0,0,0,0,0,0,0,0,0,0,0,Standard
